Age,Sex,Job,Housing,Duration,Purpose,Risk,installment,Other_credit,DTI,month.inc,emp.length,Checking.account,Saving.accounts,credit.amount
67,male,3,own,6,radio/TV,good,194.8333333,1,0.150827356,1291.763899,6,little,NA,1169
22,female,3,own,48,radio/TV,bad,123.9791667,0,0.575113742,215.5732989,8,moderate,little,5951
49,male,2,own,12,education,good,174.6666667,0,0.051170756,3413.408005,2,NA,little,2096
45,male,3,free,42,furniture/equipment,good,NA,0,0.388895499,482.563226,7,little,little,7882
53,male,3,free,24,car,bad,202.9166667,1,0.603206447,336.3967143,8,little,little,4870
NA,male,2,free,36,education,good,251.5277778,1,0.686621739,366.3265574,2,NA,NA,9055
53,male,3,own,24,furniture/equipment,good,118.125,0,0.010646684,11095.00393,8,NA,quite rich,2835
35,male,4,rent,36,car,good,193,1,0.03001223,6430.711839,2,moderate,little,6948
61,male,2,own,12,radio/TV,good,254.9166667,1,0.084132397,3029.946544,3,NA,rich,3059
28,male,4,own,30,car,bad,174.4666667,1,0.648234598,269.1412447,2,moderate,little,5234
25,female,3,rent,12,car,bad,107.9166667,1,0.728843778,148.0655662,5,moderate,little,1295
24,female,3,rent,48,business,bad,89.75,0,0.49668092,180.6995123,6,little,little,4308
22,female,3,own,12,radio/TV,good,130.5833333,1,0.278717317,468.5153208,7,moderate,little,1567
60,male,2,own,24,car,bad,49.95833333,0,0.554370391,90.11724683,3,little,little,1199
28,female,3,rent,15,car,good,93.53333333,1,0.235345844,397.4292973,9,little,little,1403
NA,female,2,own,24,radio/TV,bad,53.41666667,1,0.552162134,96.74090878,0,little,moderate,1282
53,male,3,own,24,radio/TV,good,101,0,0.052700957,1916.473747,6,NA,NA,2424
25,male,3,own,30,business,good,269.0666667,1,0.255662212,1052.430334,3,little,NA,8072
44,female,4,free,24,car,bad,524.125,0,0.22372712,2342.697653,3,moderate,little,12579
31,male,3,own,24,radio/TV,good,142.9166667,1,0.237937664,600.6475144,8,NA,quite rich,3430
48,male,3,own,9,car,good,237.1111111,1,0.137740272,1721.436348,10,NA,little,2134
44,male,3,rent,6,radio/TV,good,441.1666667,1,0.216958026,2033.419435,5,little,quite rich,2647
48,male,2,rent,10,car,good,224.1,0,0.198458167,1129.20523,2,little,little,2241
44,male,3,own,12,car,good,150.3333333,1,0.160631799,935.8877527,4,moderate,moderate,1804
26,male,3,own,10,furniture/equipment,good,206.9,1,0.283034477,731.0063495,8,NA,NA,2069
36,male,2,own,6,furniture/equipment,good,229,0,0.053851475,4252.436905,3,little,little,1374
39,male,2,own,6,radio/TV,good,71,0,0.080103032,886.3584591,1,NA,little,426
42,female,3,rent,12,radio/TV,good,NA,0,0.12706124,268.243356,3,rich,rich,409
34,male,3,own,7,radio/TV,good,345,0,0.043838616,7869.773999,5,moderate,little,2415
63,male,3,own,60,business,bad,113.9333333,0,0.383337281,297.2143307,7,little,little,6836
36,male,3,own,18,business,good,106.2777778,0,0.038870493,2734.150498,6,moderate,rich,1913
27,male,3,own,24,furniture/equipment,good,167.5,0,0.050422112,3321.955285,8,little,little,4020
30,male,3,own,18,car,good,325.8888889,0,0.05633146,5785.202258,9,moderate,moderate,5866
57,male,2,rent,12,business,good,105.3333333,0,0.066556502,1582.615229,2,NA,NA,1264
33,female,4,own,12,furniture/equipment,good,122.8333333,1,0.150545223,815.9231529,3,rich,little,1474
25,male,2,own,45,radio/TV,bad,105.4666667,0,0.421738577,250.0759295,0,moderate,little,4746
31,male,3,free,48,education,good,NA,0,0.627367502,202.8980879,7,NA,little,6110
37,male,3,own,18,radio/TV,bad,116.6666667,1,0.840118733,138.8692598,5,rich,little,2100
37,male,3,own,10,domestic appliances,good,122.5,0,0.059463384,2060.091304,4,rich,little,1225
24,male,3,own,9,radio/TV,good,50.88888889,0,0.033988672,1497.230848,4,moderate,little,458
30,male,4,own,30,radio/TV,good,77.76666667,1,0.147190799,528.3391853,3,NA,quite rich,2333
26,male,3,own,12,radio/TV,good,96.5,0,0.045359426,2127.451954,6,moderate,quite rich,1158
44,male,2,own,18,repairs,good,NA,0,0.048048874,7173.251702,2,moderate,little,6204
24,male,3,rent,30,car,good,206.2333333,0,0.303231401,680.1186584,10,little,moderate,6187
58,female,2,free,48,car,bad,127.9791667,1,0.572397685,223.5843541,2,little,little,6143
35,female,4,own,11,car,good,126.6363636,0,0.051042599,2480.99362,5,NA,little,1393
39,male,3,own,36,radio/TV,good,63.86111111,0,0.050246534,1270.955544,9,NA,quite rich,2299
23,female,1,rent,6,car,good,225.3333333,1,0.177154101,1271.962274,3,little,quite rich,1352
39,male,2,own,11,car,good,657.0909091,0,0.051433621,12775.51319,3,NA,little,7228
28,female,3,own,12,radio/TV,good,172.75,0,0.047348124,3648.507819,8,NA,moderate,2073
29,male,2,own,24,furniture/equipment,good,97.20833333,0,0.057172162,1700.273888,3,moderate,NA,2333
30,male,4,own,27,car,good,220.9259259,0,0.067132985,3290.870005,1,moderate,little,5965
25,male,3,own,12,radio/TV,good,105.1666667,0,0.031808316,3306.263278,6,NA,little,1262
31,male,3,own,18,car,good,187.6666667,0,0.062600839,2997.829876,7,NA,NA,3378
57,male,3,free,36,car,bad,61.80555556,1,0.493058501,125.351364,7,moderate,little,2225
26,male,2,own,6,car,good,130.5,1,0.17972947,726.0912752,1,NA,NA,783
52,male,4,own,12,radio/TV,bad,539,0,0.641824473,839.7934686,3,moderate,NA,6468
31,female,3,own,36,radio/TV,good,265.7222222,0,0.020327751,13071.89492,6,NA,little,9566
23,female,4,own,18,car,good,108.9444444,1,0.164500375,662.274749,3,rich,little,1961
23,female,2,rent,36,furniture/equipment,bad,173.0277778,0,0.583862889,296.3500183,2,little,little,6229
27,male,3,own,9,business,good,154.5555556,0,0.049564626,3118.2633,5,moderate,little,1391
50,male,3,own,15,radio/TV,good,102.4666667,0,0.032474254,3155.320068,4,moderate,NA,1537
61,male,4,free,36,business,bad,54.25,1,0.758847771,71.48996418,5,moderate,little,1953
25,male,3,own,48,business,bad,300.4375,1,0.750220298,400.4657043,7,moderate,little,14421
26,female,3,own,24,radio/TV,good,132.5416667,0,0.027583832,4805.049003,8,NA,little,3181
48,male,3,own,27,repairs,good,192.2222222,0,0.02805671,6851.203272,7,NA,NA,5190
29,female,3,own,12,radio/TV,good,180.9166667,0,0.031430244,5756.133013,5,NA,little,2171
22,male,3,own,12,car,good,83.91666667,0,0.047451262,1768.481251,6,moderate,rich,1007
37,male,3,free,36,education,bad,50.52777778,1,0.684564749,73.81007839,6,NA,little,1819
25,female,3,own,36,radio/TV,good,66.5,0,0.054016402,1231.107539,9,NA,NA,2394
30,female,3,own,36,car,good,225.9166667,1,0.258392704,874.315192,9,NA,little,8133
46,male,2,rent,7,radio/TV,good,104.2857143,0,0.191812082,543.6868911,1,NA,NA,730
51,male,4,free,8,vacation/others,good,145.5,0,0.587761176,247.5495251,1,little,little,1164
41,female,2,own,42,business,good,141.7619048,1,0.0827448,1713.242461,1,moderate,little,5954
40,male,4,own,36,education,bad,54.91666667,1,0.560453177,97.98618148,3,little,NA,1977
66,male,4,free,12,car,good,127.1666667,1,0.47431938,268.1034595,3,little,little,1526
34,male,3,own,42,radio/TV,bad,94.4047619,1,0.584843373,161.4188794,9,little,little,3965
51,male,3,own,11,radio/TV,good,433.7272727,0,0.047552875,9120.947422,11,moderate,little,4771
39,male,2,own,54,car,good,174.7407407,1,0.17239649,1013.59802,2,NA,NA,9436
22,male,3,own,30,furniture/equipment,good,127.7333333,0,0.050391122,2534.838055,7,moderate,little,3832
44,female,3,own,24,radio/TV,bad,247.625,0,0.263246346,940.6588297,5,NA,NA,5943
47,male,3,own,15,radio/TV,good,80.86666667,0,0.058343973,1386.032903,4,NA,quite rich,1213
24,female,2,rent,18,business,good,87.11111111,1,0.349614018,249.1636681,1,NA,moderate,1568
58,female,2,own,24,vacation/others,good,73.125,0,0.042133678,1735.54752,2,little,little,1755
52,male,2,own,10,radio/TV,good,231.5,0,0.040009682,5786.09942,3,little,little,2315
29,female,4,own,12,business,good,117.6666667,1,0.227404584,517.4331345,0,NA,little,1412
27,female,3,own,18,furniture/equipment,good,71.94444444,0,0.041752444,1723.119375,6,moderate,little,1295
47,male,3,free,36,education,bad,350.3333333,1,0.924358289,379.0016682,5,moderate,moderate,12612
30,male,4,own,18,car,good,124.9444444,1,0.135061895,925.0902641,3,little,moderate,2249
28,male,3,own,12,repairs,bad,92.33333333,1,0.450508114,204.9537634,6,little,little,1108
56,male,3,own,12,radio/TV,good,51.5,0,0.052339854,983.9538313,7,NA,little,618
54,male,3,own,12,car,good,117.4166667,0,0.062236447,1886.622276,5,little,little,1409
33,female,2,own,12,radio/TV,bad,66.41666667,0,0.476753467,139.3102962,1,NA,NA,797
20,male,3,rent,24,furniture/equipment,good,150.7083333,1,0.209232264,720.2920347,4,rich,NA,3617
54,male,3,own,12,car,good,109.8333333,0,0.027957604,3928.567441,5,moderate,rich,1318
58,male,3,rent,54,business,bad,295.2777778,1,0.575727791,512.8774093,6,moderate,little,15945
61,female,3,own,12,education,good,167.6666667,0,0.03029665,5534.16515,7,NA,NA,2012
34,male,3,own,18,business,good,145.6666667,1,0.179353741,812.1752354,5,moderate,moderate,2622
36,male,3,own,36,radio/TV,good,64.91666667,0,0.051613455,1257.746982,8,moderate,little,2337
36,male,4,rent,20,car,good,352.85,0,0.269556128,1309.003817,2,moderate,NA,7057
41,male,2,rent,24,car,good,61.20833333,1,0.351422835,174.1728975,2,NA,moderate,1469
24,male,3,rent,36,radio/TV,good,64.52777778,0,0.17551206,367.6543801,5,moderate,little,2323
24,female,3,own,6,radio/TV,good,155.3333333,1,0.261630327,593.7130272,5,NA,little,932
35,male,3,rent,9,furniture/equipment,good,213.2222222,1,0.400910617,531.844788,8,moderate,little,1919
26,male,3,rent,12,car,good,203.75,0,0.069283002,2940.836759,6,NA,NA,2445
39,male,4,own,24,vacation/others,bad,497.4166667,1,0.464027355,1071.955482,2,moderate,little,11938
39,male,4,own,18,car,bad,358.7777778,1,0.615456728,582.9455779,2,NA,little,6458
32,male,3,own,12,car,good,506.5,1,0.09835656,5149.631081,6,moderate,little,6078
30,female,3,own,24,furniture/equipment,good,321.7083333,1,0.225137707,1428.940262,6,little,NA,7721
35,male,3,own,14,business,good,100.7142857,0,0.054028842,1864.083729,5,moderate,quite rich,1410
31,male,3,own,6,business,good,241.5,0,0.059590442,4052.663362,4,moderate,moderate,1449
23,female,3,rent,15,education,good,26.13333333,1,0.548911179,47.60940265,5,rich,little,392
28,male,2,rent,18,car,good,347.7777778,1,0.307733117,1130.127889,3,moderate,little,6260
25,female,3,own,36,car,bad,218.1944444,1,0.763547613,285.7640319,10,NA,little,7855
35,male,3,own,12,radio/TV,good,140,0,0.04998256,2800.976955,7,little,quite rich,1680
47,male,3,own,48,radio/TV,good,74.54166667,1,0.216653177,344.0598824,4,NA,NA,3578
30,female,4,own,42,radio/TV,bad,170.8095238,1,0.96128418,177.688895,2,little,NA,7174
27,female,3,rent,10,furniture/equipment,good,213.2,0,0.065523133,3253.81266,10,little,NA,2132
23,female,3,own,33,furniture/equipment,bad,129.7272727,1,0.372098527,348.6368889,8,little,quite rich,4281
36,male,4,own,12,car,good,197.1666667,0,0.077638505,2539.547452,2,moderate,quite rich,2366
25,female,3,own,21,radio/TV,bad,87.38095238,1,0.499987291,174.7663469,6,little,little,1835
41,female,4,rent,24,car,good,161.1666667,0,0.057629704,2796.590216,4,NA,little,3868
24,male,2,rent,12,furniture/equipment,good,147.3333333,1,0.203292908,724.7342505,2,NA,little,1768
63,male,3,free,10,car,good,78.1,0,0.303973571,256.9302318,6,rich,little,781
27,female,3,rent,18,furniture/equipment,bad,106.8888889,1,0.667471024,160.1401185,7,moderate,NA,1924
30,male,3,own,12,car,good,176.75,0,0.072910767,2424.196144,3,little,little,2121
40,male,2,own,12,radio/TV,good,58.41666667,0,0.04211941,1386.929851,3,little,little,701
30,male,3,own,12,repairs,bad,53.25,1,0.509370396,104.5408223,6,moderate,little,639
34,male,4,own,12,car,good,155,0,0.03176223,4880.010035,5,moderate,little,1860
29,female,3,own,12,car,bad,291.5833333,1,0.522884253,557.6441282,7,little,little,3499
24,female,3,own,48,car,good,176.8125,1,0.105056551,1683.02213,9,moderate,NA,8487
29,male,3,own,36,education,bad,191.3055556,0,0.455698304,419.807478,5,little,little,6887
27,male,2,own,15,furniture/equipment,good,180.5333333,0,0.039819342,4533.810108,2,NA,little,2708
47,male,3,free,18,furniture/equipment,good,110.2222222,0,0.586780504,187.8423386,10,NA,little,1984
21,female,3,own,60,radio/TV,good,169.0666667,0,0.038672748,4371.726196,6,NA,moderate,10144
38,female,3,own,12,radio/TV,good,103.3333333,0,0.048051662,2150.463262,7,NA,NA,1240
27,male,3,own,27,car,good,319,0,0.054822923,5818.733873,5,NA,rich,8613
66,male,2,own,12,radio/TV,bad,63.83333333,1,0.66538282,95.93474828,2,moderate,quite rich,766
35,male,3,own,15,radio/TV,good,181.8666667,0,0.042987531,4230.684197,3,moderate,NA,2728
44,female,2,rent,12,radio/TV,good,156.75,0,0.091157663,1719.548259,0,rich,little,1881
27,male,1,own,6,car,good,118.1666667,0,0.027589747,4282.99202,0,rich,rich,709
30,female,4,own,36,radio/TV,good,133.1944444,1,0.200912272,662.948276,3,moderate,little,4795
27,male,4,own,27,radio/TV,good,126.5185185,0,0.038545041,3282.355284,1,little,little,3416
22,male,3,own,18,furniture/equipment,bad,136.7777778,1,0.377503841,362.3215526,7,little,little,2462
23,female,3,own,21,furniture/equipment,good,108.952381,0,0.054832842,1986.991311,4,NA,little,2288
30,male,3,own,48,business,good,74.29166667,0,0.036679183,2025.444971,4,moderate,moderate,3566
39,female,3,own,6,car,good,143.3333333,0,0.043921924,3263.366487,6,little,little,860
51,female,3,own,12,car,good,56.83333333,0,0.01921289,2958.083531,8,NA,moderate,682
28,male,3,own,36,furniture/equipment,good,149.1944444,0,0.044070774,3385.337526,8,little,little,5371
46,male,3,own,18,radio/TV,good,87.88888889,1,0.194182956,452.608668,7,NA,rich,1582
42,male,3,free,6,radio/TV,good,224.3333333,0,0.418309669,536.2853174,4,NA,moderate,1346
38,male,3,own,10,radio/TV,good,192.4,0,0.037573172,5120.674996,6,NA,little,1924
24,male,3,own,36,radio/TV,good,162.4444444,0,0.043770698,3711.260105,5,rich,little,5848
29,female,3,rent,24,car,good,323.25,0,-0.009043761,-35742.87123,6,moderate,rich,7758
36,male,4,rent,24,business,good,290.2916667,0,0.318469027,911.5224479,2,moderate,moderate,6967
20,female,3,rent,12,furniture/equipment,bad,106.8333333,0,0.445744414,239.6739702,6,little,little,1282
48,male,3,own,9,repairs,good,143.1111111,0,0.045860142,3120.59892,5,little,moderate,1288
45,male,2,own,12,education,good,28.25,1,0.141566753,199.552503,2,little,little,339
38,male,3,own,24,car,good,146.3333333,0,0.032062824,4563.956503,8,moderate,moderate,3512
34,male,2,own,6,radio/TV,good,316.3333333,0,0.026127507,12107.29104,2,NA,NA,1898
36,male,3,own,24,radio/TV,good,119.6666667,1,0.221366929,540.5805961,9,NA,moderate,2872
30,female,3,own,18,car,good,58.61111111,0,0.012015055,4878.139257,6,NA,little,1055
36,male,3,own,15,domestic appliances,good,84.13333333,0,0.057211614,1470.563884,7,NA,quite rich,1262
70,male,4,free,10,car,good,730.8,0,0.554859817,1317.089429,3,moderate,little,7308
36,male,3,own,36,car,good,25.25,0,0.009849467,2563.590398,8,NA,quite rich,909
32,male,3,own,6,furniture/equipment,good,496.3333333,1,0.113963375,4355.200358,6,NA,quite rich,2978
33,female,3,own,18,furniture/equipment,bad,62.83333333,1,0.683603864,91.9148306,4,little,little,1131
20,female,3,own,11,furniture/equipment,good,143.3636364,0,0.034720308,4129.100382,5,moderate,rich,1577
25,female,3,rent,24,furniture/equipment,good,165.5,0,0.182743462,905.6411536,7,NA,little,3972
31,male,3,own,24,business,bad,80.625,1,0.618692182,130.3152074,4,moderate,little,1935
33,male,3,rent,15,car,bad,63.33333333,1,0.596983892,106.088848,8,little,little,950
26,female,3,own,12,furniture/equipment,good,63.58333333,1,0.238772095,266.2929822,6,NA,little,763
34,female,4,own,24,furniture/equipment,bad,86,1,0.420474423,204.5308708,2,moderate,little,2064
33,male,3,own,8,radio/TV,good,176.75,0,0.038346471,4609.289832,5,moderate,little,1414
NA,male,3,own,21,education,bad,162.5714286,1,0.776350802,209.4045993,6,little,little,3414
53,female,4,own,30,car,bad,249.5,0,0.577173886,432.2787395,3,NA,NA,7485
42,male,3,own,12,furniture/equipment,good,214.75,0,0.017104076,12555.4871,7,little,little,2577
52,male,3,own,6,radio/TV,good,56.33333333,0,0.043123342,1306.33043,5,little,quite rich,338
31,male,4,rent,12,radio/TV,good,163.5833333,0,0.063670746,2569.207128,1,NA,little,1963
65,male,3,own,21,car,good,27.19047619,1,0.114275568,237.9377898,4,little,little,571
28,male,3,own,36,business,bad,265.8888889,0,0.367680897,723.1512198,6,NA,little,9572
NA,male,4,own,36,business,bad,123.75,1,0.743643643,166.4103515,2,moderate,little,4455
40,male,2,own,21,car,bad,78.42857143,1,0.627733719,124.9392363,0,little,NA,1647
50,male,3,own,24,furniture/equipment,good,157.375,0,0.037515587,4194.923051,5,NA,rich,3777
36,male,3,own,18,car,bad,49.11111111,1,0.452773219,108.4673497,6,moderate,little,884
31,male,3,own,15,radio/TV,good,90.66666667,0,0.033458488,2709.825612,5,NA,little,1360
74,female,4,free,9,car,bad,569.8888889,1,0.543814569,1047.947078,4,moderate,little,5129
68,male,1,free,16,car,good,73.4375,0,0.319530681,229.8292603,1,moderate,little,1175
20,male,3,own,12,radio/TV,bad,56.16666667,0,0.665460974,84.40264553,9,little,moderate,674
33,female,3,own,18,furniture/equipment,good,180.2222222,1,0.208694332,863.5702779,9,moderate,little,3244
54,male,4,own,24,business,bad,191.2916667,1,0.602347793,317.5767704,3,NA,rich,4591
34,male,2,free,48,business,bad,80.08333333,1,0.542786083,147.541243,3,moderate,moderate,3844
36,male,3,own,27,business,bad,145,1,0.769192575,188.50936,7,moderate,little,3915
29,male,3,rent,6,radio/TV,good,351.3333333,0,-0.028219318,-12450.10002,6,NA,little,2108
21,male,3,rent,45,radio/TV,bad,67.35555556,0,0.433823579,155.260246,8,moderate,moderate,3031
34,female,4,own,9,education,bad,166.7777778,1,0.568060205,293.5917288,1,moderate,little,1501
28,female,3,own,6,radio/TV,good,230.3333333,0,0.05767396,3993.714557,3,NA,little,1382
27,female,3,rent,12,furniture/equipment,bad,79.25,1,0.294590806,269.0172216,5,moderate,moderate,951
36,male,3,free,24,car,good,115,1,0.594188464,193.541287,7,moderate,NA,2760
40,male,4,own,18,furniture/equipment,bad,238.7222222,0,0.458676478,520.4588276,4,moderate,little,4297
52,male,3,own,9,education,good,104,0,0.061577092,1688.939769,5,NA,quite rich,936
27,male,2,own,12,car,good,97.33333333,0,0.017123534,5684.184755,1,little,little,1168
26,male,3,own,27,business,good,189.5185185,0,0.049914974,3796.82696,5,NA,little,5117
21,male,3,rent,12,education,bad,75.16666667,1,0.464232179,161.9161059,6,little,little,902
38,male,2,own,12,car,good,124.5833333,0,0.03535509,3523.773642,2,NA,little,1495
38,male,4,free,30,car,good,354.1,0,0.730368479,484.8237704,3,little,little,10623
43,male,3,own,12,furniture/equipment,good,161.25,0,0.043540109,3703.481786,6,NA,little,1935
26,male,3,own,12,domestic appliances,good,118.6666667,0,0.057825795,2052.1407,5,moderate,little,1424
21,male,2,own,24,business,good,273.6666667,0,0.045597257,6001.823003,2,little,little,6568
55,male,3,own,12,car,good,117.75,0,0.016693909,7053.470818,5,NA,rich,1413
33,male,3,own,9,radio/TV,good,341.5555556,0,0.040512239,8430.92274,7,NA,NA,3074
45,female,2,own,36,radio/TV,good,106.5277778,0,0.02275715,4681.06858,3,NA,NA,3835
50,male,3,own,27,business,bad,196.037037,1,0.582187277,336.7250451,10,little,little,5293
66,male,4,own,30,business,bad,63.6,1,0.672608684,94.55720914,2,rich,little,1908
51,male,3,own,36,radio/TV,good,92.83333333,0,0.04528793,2049.847123,5,NA,NA,3342
39,female,2,own,6,education,good,155.3333333,1,0.090236519,1721.402095,1,moderate,NA,932
31,male,3,own,18,business,good,172.4444444,0,0.042940031,4015.936651,7,little,little,3104
23,male,3,own,36,radio/TV,good,108.6944444,1,0.076447059,1421.826371,8,rich,little,3913
24,male,2,rent,24,furniture/equipment,good,125.875,1,0.079933992,1574.736808,3,little,little,3021
64,female,3,own,10,car,good,136.4,0,0.047970661,2843.404621,5,NA,little,1364
26,male,2,own,12,radio/TV,good,52.08333333,0,0.032152166,1619.901235,3,moderate,little,625
23,female,3,rent,12,education,good,100,1,0.273607553,365.4869861,7,little,NA,1200
30,male,3,own,12,radio/TV,good,58.91666667,0,0.039090423,1507.189297,9,NA,little,707
32,male,3,own,24,business,good,124.0833333,1,0.062386855,1988.933928,10,NA,NA,2978
30,male,3,own,15,car,good,310.4666667,0,0.037332608,8316.233005,6,NA,little,4657
27,male,3,own,36,repairs,good,72.58333333,1,0.156376131,464.1586457,8,NA,little,2613
27,male,3,own,48,radio/TV,bad,228.3541667,0,0.48146491,474.290362,4,moderate,rich,10961
53,male,4,free,12,furniture/equipment,bad,655.4166667,1,0.530006615,1236.619787,3,little,little,7865
22,male,3,own,9,radio/TV,bad,164.2222222,1,0.640557334,256.3739629,6,NA,little,1478
22,male,3,free,24,furniture/equipment,good,131.2083333,0,0.446663246,293.7522496,7,little,little,3149
26,male,3,own,36,radio/TV,bad,116.9444444,1,0.82270646,142.1460145,3,rich,little,4210
51,male,2,free,9,car,good,278.5555556,1,0.534330473,521.316993,2,NA,quite rich,2507
35,male,3,own,12,radio/TV,good,178.4166667,0,0.048232284,3699.112923,8,NA,moderate,2141
25,male,2,own,18,radio/TV,good,48.11111111,0,0.057349956,838.9040645,2,moderate,little,866
42,male,2,own,4,radio/TV,good,386,0,0.044795006,8617.032079,2,NA,little,1544
30,male,4,own,24,radio/TV,bad,75.95833333,1,0.71955699,105.562637,3,little,little,1823
23,male,1,own,6,car,bad,2425.833333,0,0.453318383,5351.279419,1,moderate,NA,14555
61,male,2,rent,21,business,bad,131.7619048,1,0.557333277,236.4149248,1,moderate,moderate,2767
35,female,3,own,12,radio/TV,good,107.5833333,0,0.063671269,1689.668439,5,NA,little,1291
39,male,3,own,30,radio/TV,good,84.06666667,0,0.052406559,1604.12492,7,little,little,2522
29,female,3,own,24,car,bad,38.125,1,0.719391861,52.9961514,7,little,NA,915
51,male,3,own,6,radio/TV,good,265.8333333,0,0.041935052,6339.167836,4,NA,little,1595
24,male,3,free,48,car,bad,95.9375,1,0.569633432,168.4197146,8,little,little,4605
27,female,3,own,12,business,good,98.75,0,0.059524564,1658.978971,6,NA,little,1185
35,female,2,own,12,education,good,287.25,0,0.03458412,8305.835044,3,NA,quite rich,3447
25,male,3,own,24,business,good,52.41666667,0,0.027179188,1928.558967,6,NA,little,1258
52,male,3,own,12,radio/TV,good,59.75,1,0.139055013,429.6860548,4,NA,little,717
35,male,3,rent,6,car,good,200.6666667,1,0.291681112,687.9659281,6,NA,moderate,1204
